,n_req,timestamp,stations
859,145,2015-01-09,55
860,205,2016-01-09,3
861,26,2016-01-09,8
862,343,2016-01-09,24
863,157,2016-01-09,25
864,1602,2016-01-09,26
865,211,2016-01-09,34
866,335,2016-01-09,35
867,501,2016-01-09,39
868,1364,2016-01-09,47
869,79,2016-01-09,55
870,369,2017-01-09,3
871,58,2017-01-09,8
872,569,2017-01-09,24
873,301,2017-01-09,25
874,3331,2017-01-09,26
875,288,2017-01-09,34
876,456,2017-01-09,35
877,835,2017-01-09,39
878,2785,2017-01-09,47
879,141,2017-01-09,55
880,528,2018-01-09,3
881,45,2018-01-09,8
882,800,2018-01-09,24
883,381,2018-01-09,25
884,2901,2018-01-09,26
885,337,2018-01-09,34
886,460,2018-01-09,35
887,654,2018-01-09,39
888,2633,2018-01-09,47
889,174,2018-01-09,55
890,430,2019-01-09,3
891,55,2019-01-09,8
892,642,2019-01-09,24
893,355,2019-01-09,25
894,2344,2019-01-09,26
895,237,2019-01-09,34
896,385,2019-01-09,35
897,573,2019-01-09,39
898,2203,2019-01-09,47
899,152,2019-01-09,55
900,166,2010-01-10,3
901,22,2010-01-10,8
902,288,2010-01-10,24
903,117,2010-01-10,25
904,1587,2010-01-10,26
905,133,2010-01-10,34
906,198,2010-01-10,35
907,532,2010-01-10,39
908,1254,2010-01-10,47
909,57,2010-01-10,55
910,255,2011-01-10,3
911,36,2011-01-10,8
912,523,2011-01-10,24
913,241,2011-01-10,25
914,2285,2011-01-10,26
915,187,2011-01-10,34
916,360,2011-01-10,35
917,652,2011-01-10,39
918,1847,2011-01-10,47
919,88,2011-01-10,55
920,256,2012-01-10,3
921,24,2012-01-10,8
922,409,2012-01-10,24
923,203,2012-01-10,25
924,1733,2012-01-10,26
925,195,2012-01-10,34
926,254,2012-01-10,35
927,522,2012-01-10,39
928,1473,2012-01-10,47
929,55,2012-01-10,55
930,231,2013-01-10,3
931,22,2013-01-10,8
932,453,2013-01-10,24
933,174,2013-01-10,25
934,1495,2013-01-10,26
935,210,2013-01-10,34
936,303,2013-01-10,35
937,527,2013-01-10,39
938,1525,2013-01-10,47
939,81,2013-01-10,55
940,636,2014-01-10,3
941,34,2014-01-10,8
942,427,2014-01-10,24
943,251,2014-01-10,25
944,1931,2014-01-10,26
945,237,2014-01-10,34
946,252,2014-01-10,35
947,476,2014-01-10,39
948,1752,2014-01-10,47
949,97,2014-01-10,55
950,185,2015-01-10,3
951,35,2015-01-10,8
952,330,2015-01-10,24
953,171,2015-01-10,25
954,2128,2015-01-10,26
955,213,2015-01-10,34
956,283,2015-01-10,35
957,716,2015-01-10,39
958,1731,2015-01-10,47
959,86,2015-01-10,55
960,283,2016-01-10,3
961,19,2016-01-10,8
962,363,2016-01-10,24
963,184,2016-01-10,25
964,1478,2016-01-10,26
965,159,2016-01-10,34
966,237,2016-01-10,35
967,389,2016-01-10,39
968,1471,2016-01-10,47
969,73,2016-01-10,55
970,399,2017-01-10,3
971,43,2017-01-10,8
972,525,2017-01-10,24
973,311,2017-01-10,25
974,2838,2017-01-10,26
975,305,2017-01-10,34
976,441,2017-01-10,35
977,673,2017-01-10,39
978,2420,2017-01-10,47
979,138,2017-01-10,55
980,453,2018-01-10,3
981,33,2018-01-10,8
982,674,2018-01-10,24
983,336,2018-01-10,25
984,2481,2018-01-10,26
985,306,2018-01-10,34
986,412,2018-01-10,35
987,569,2018-01-10,39
988,2294,2018-01-10,47
989,159,2018-01-10,55
990,450,2019-01-10,3
991,33,2019-01-10,8
992,567,2019-01-10,24
993,340,2019-01-10,25
994,2180,2019-01-10,26
995,236,2019-01-10,34
996,362,2019-01-10,35
997,476,2019-01-10,39
998,2064,2019-01-10,47
999,148,2019-01-10,55
1000,344,2010-01-11,3
1001,42,2010-01-11,8
1002,455,2010-01-11,24
1003,239,2010-01-11,25
1004,2341,2010-01-11,26
1005,199,2010-01-11,34
1006,337,2010-01-11,35
1007,696,2010-01-11,39
1008,1917,2010-01-11,47
1009,110,2010-01-11,55
1010,181,2011-01-11,3
1011,14,2011-01-11,8
1012,418,2011-01-11,24
1013,192,2011-01-11,25
1014,2041,2011-01-11,26
1015,173,2011-01-11,34
1016,261,2011-01-11,35
1017,671,2011-01-11,39
1018,1636,2011-01-11,47
1019,91,2011-01-11,55
1020,266,2012-01-11,3
1021,14,2012-01-11,8
1022,452,2012-01-11,24
1023,229,2012-01-11,25
1024,1587,2012-01-11,26
1025,159,2012-01-11,34
1026,244,2012-01-11,35
1027,400,2012-01-11,39
